    Type,Air_Temp_K,Process_Temp_K,Rotational_Speed_RPM,Torque_Nm,Tool_Wear_Min,Machine_Failure
    High,299.43455836381906,314.52672866499074,2514.12712056039,51.09030524141852,4,0
    ??,301.0211698535478,309.04859889618143,2018.8902359017984,54.44398308963504,171,0
    Low,300.9140675942249,310.0635055328081,2348.767254432616,46.34744663094205,232,0
    High,303.06589342326276,314.7151635680414,1697.6165415828161,67.3855200919391,156,0
    High,299.76483383778293,307.76238941623143,1689.6935246802316,71.6265107630322,106,0
    ??,304.9612294963944,312.92390775358814,2268.134434877697,69.48185097017627,227,0
Low,295.5947156886728,307.25239902335244,2328.6541983575744,66.84924740621273,141,0
Low,295.031678485807,311.8146011542527,2699.21551921943,22.789915149429866,57,0
High,301.40198311559624,307.53615627638567,1559.7417195487592,51.57133577556548,171,0
Medium,297.98434912361876,313.8373338883139,1949.1481537407506,50.75142372688591,145,0
High,9999.0,310.6147794373668,1600.8215570622262,46.95608026233487,6,0
High,298.1189908000428,306.85933640874384,1328.1474574083927,43.656895250773616,86,0
High,297.56047565104956,307.24369175698484,1845.1688447159804,16.241933403046843,96,0
High,295.3079004966045,309.938491957081,1798.5291956611254,17.151426373435537,189,0
??,304.71533042390587,314.61602025574877,1632.6945919715006,73.15970993084363,44,0
Low,297.2074548845278,312.69642163883657,1675.1918258230662,54.113050738483906,15,0
??,302.3402976258931,309.88309642825845,1776.6588901620448,28.362205014860447,63,0
??,302.62596394694174,308.37719144562215,2782.1402124481497,29.551027244941935,36,0
??,304.2925739800723,310.49268493348444,2452.732425547648,,242,0
High,295.3054945709338,312.4836083342862,1314.2419217390511,38.485448224496345,152,0
Medium,303.72048338447007,312.839285884528,-500.0,40.89269196895662,8,0
Low,300.272261808398,308.24608798096943,2213.2853222378744,14.245499337339332,182,0
Medium,301.3254410996583,312.21159268213876,2624.9500161950546,19.71174309768213,155,0
??,301.44470277121036,311.57788780036185,1746.7354994083653,37.534529859456384,136,0
??,303.1979780498473,314.5911229199629,1943.23018369875,58.97804939543379,139,0
Medium,298.3340732215911,314.3109029050801,2633.963291692973,13.361777131993922,145,0
Medium,302.3305118985999,312.8937932560358,1636.1170174618903,33.41904549817583,218,0
Medium,300.28578109722196,312.23394688854927,2664.8014019926645,58.65503663541611,89,0
??,302.93394014305346,307.74041589704274,2525.5995394308306,65.44355533152039,183,0
??,,313.4596525609853,2768.8927054548694,23.315449286671935,217,0
Low,297.0065101740376,309.27505703713365,1718.812139226181,61.204099232542,73,0
Low,304.94648641559996,307.72240542506046,1577.2050880076536,76.87881858553206,185,0
??,295.89812154282777,308.84160757953464,1729.387035273165,,124,0
Medium,295.0231754790481,313.3593549001651,2727.4396735819764,65.25632541642563,208,0
Medium,295.4416193617783,306.4863321557788,1732.9172736847065,59.86286802289367,50,0
Low,298.4178240473676,309.5615874111982,2104.338911931581,26.45968156138392,31,0
??,301.32906330678435,309.9235759452949,1845.8868521384227,54.37322589336786,87,1
Low,295.6902954088785,305.3662969759882,1833.9522311708495,,234,0
Low,295.05665814529567,306.95746029548167,1509.4057758064882,38.47749324648815,175,0
High,304.3709102845879,313.2674242857586,2059.327265276144,44.51108231906563,135,0
High,,313.3076738859476,2559.046807947531,58.58199417222947,157,0
High,303.0918317113903,307.9241508388425,1279.1760216861933,76.64710749972954,25,0
Medium,303.84424275501976,313.74897234597927,2622.7625498614743,30.671434590872213,151,0
??,302.00034272772103,312.7178293906835,2264.756744219679,27.245420637020768,154,0
??,296.0440412974808,309.1790748379541,2186.7809289198444,52.12648246092101,206,0
??,,312.4840634440504,2201.4403726783876,19.155937800895195,219,0
??,302.2314948646463,314.6133463119481,1674.031737527151,50.777298134146974,202,0
High,297.8033446079152,309.5896971806535,1864.2312061892603,16.219603955000157,166,0
Medium,301.8740636413624,307.38427178953486,2478.8640094467437,44.34087157231561,65,0
Medium,295.2449844826765,314.4181650005016,1690.2096590980634,53.429006229947355,178,0
High,298.06137340879593,311.0374428856326,1952.0323353163149,14.90767474909893,72,0
Medium,300.4913033627717,306.05265162480424,1231.4116342202453,24.48672063640405,49,0
High,301.3208982950624,310.7268281585669,2373.693364696811,33.47619994156675,44,0
??,300.77040664461913,310.005808894483,1868.323482685769,35.80190866303113,86,1
High,301.9775627607343,313.5558889407556,2040.5740295577662,57.32732502779109,32,0
??,295.0608874823984,310.3069518976352,1383.5029084972139,47.031493839166686,18,0
??,296.00941199977524,307.5523243434428,2786.7427660598987,36.747592921372885,140,0
Low,303.68944252279147,311.7564406386489,1683.9485231757535,41.547337803915504,205,0
High,301.81748644090163,310.4257545253558,2215.9834585543204,10.908366945516745,223,0
Low,296.1293164268601,307.33044628266873,2129.9781517671445,63.936769551534105,112,0
High,303.42074437398577,310.7362785794291,2456.1475262799845,12.870328208634772,21,0
High,297.42231217824565,313.2153557788969,1670.1391289951368,68.05222450457961,147,0
Low,299.7825988419522,305.2857091772401,2409.4837519955795,47.869756499031105,96,0
Low,296.4519651288466,311.30851038645113,1812.002769097175,46.947343385716195,4,0
High,302.10110056421706,308.4958519578439,1857.8575453541584,59.320503944123956,125,0
Medium,301.66854421014267,307.92671445759424,2276.3400423788325,70.16916728574257,211,0
??,297.1111247116614,308.9258775036111,2454.8572347847503,75.9852302535765,77,0
Low,303.63400766857,308.4202266424798,2266.9866177928943,48.035892107078936,218,0
??,299.0130602421971,313.3223910670844,2639.807232913843,20.546076239224277,217,0
Medium,297.92515091070743,307.747978107679,1656.2544472161078,71.5041648321105,159,0
Medium,296.52329589464534,312.33153023106587,2640.9867713631193,12.847041285908045,29,0
Medium,297.6616801251554,305.9405982022859,1409.3816415094059,66.51360195038657,90,0
Low,295.2202692122382,314.51396372484413,2255.2485104479692,57.629513849795366,153,0
Medium,300.83257492456113,311.22316637248554,2076.209042208284,73.33093251960622,81,0
Low,303.4223074634395,312.0671857704456,1991.417504664943,72.82242051732128,236,0
Medium,300.48980449441643,307.98039332094453,1697.4592461794853,,214,0
??,297.19273961923875,309.12096568708114,2005.9723924931748,52.66124850229705,235,0
??,295.3366917821387,307.23778386270976,1458.8373702155252,18.727001861774124,238,0
High,297.146280732588,314.32536085802224,1790.913510738681,15.492802822083831,87,0
??,299.1612142807109,309.88104447101375,1357.8894679742039,41.37940020815114,131,0
High,302.596114286998,311.3044811565799,2114.954559658111,16.831827789411847,104,0
??,296.8784285253777,312.3427203053072,1353.2286179194032,60.953166817881495,66,0
Low,302.19791453354685,308.7110609109954,1456.5514302482652,77.82584973553197,117,0
??,303.66933468351885,312.20101654539144,1336.74688237997,49.870807044816495,170,0
High,299.5394684810836,311.7599248975634,1810.0970239233247,26.46182086931806,29,0
High,303.21431991642595,312.05659333873945,2547.1335270693576,69.02444740677768,110,0
Medium,300.54657348035096,309.8922990020461,2651.0342266141242,69.71723624510182,143,0
Low,301.37090837080905,308.8293738229162,1315.0231273600214,61.295018065507605,198,0
??,300.26278460338204,307.2208218820899,2215.280225378603,,38,0
Medium,299.6317271675134,313.2462635280089,2295.016679347317,70.74547183262068,85,0
??,297.3465344177585,311.0835004653168,2054.0319078912385,21.43041773982913,40,0
